id,title_ru,title_original,year,rating_kp,rating_imdb,poster_url,description,film_length,countries,genres,actors,directors,budget,premiere_world,age_rating,link
444,Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,8.4,8.6,https://kinopoiskapiunofficial.tech/images/posters/kp/444.jpg,"Прошло более десяти лет с тех пор, как киборг из 2029 года пытался уничтожить Сару Коннор — женщину, чей будущий сын выиграет войну человечества против машин.

Теперь у Сары родился сын Джон и время, когда он поведёт за собой выживших людей на борьбу с машинами, неумолимо приближается. Именно в этот момент из постапокалиптического будущего прибывает новый терминатор — практически неуязвимая модель T-1000, способная принимать любое обличье. Цель нового терминатора уже не Сара, а уничтожение молодого Джона Коннора.

Однако шансы Джона на спасение существенно повышаются, когда на помощь приходит перепрограммированный сопротивлением терминатор предыдущего поколения. Оба киборга вступают в смертельный бой, от исхода которого зависит судьба человечества.",137 мин,"США, Франция","триллер, фантастика, боевик","Арнольд Шварценеггер, Линда Хэмилтон, Эдвард Ферлонг, Роберт Патрик, Эрл Боэн",Джеймс Кэмерон,,,18+,https://www.kinopoisk.ru/film/444/
1108577,Зеленая книга,Green Book,2018,8.5,8.2,https://kinopoiskapiunofficial.tech/images/posters/kp/1108577.jpg,"1960-е годы. После закрытия нью-йоркского ночного клуба на ремонт вышибала Тони по прозвищу Болтун ищет подработку на пару месяцев. Как раз в это время Дон Ширли — утонченный светский лев, богатый и талантливый чернокожий музыкант, исполняющий классическую музыку — собирается в турне по южным штатам, где ещё сильны расистские убеждения и царит сегрегация. Он нанимает Тони в качестве водителя, телохранителя и человека, способного решать текущие проблемы. У этих двоих так мало общего, и эта поездка навсегда изменит жизнь обоих.",130 мин,"США, Китай","драма, биография, комедия","Вигго Мортенсен, Махершала Али, Линда Карделлини, Себастьян Манискалко, Димитар Маринов",Питер Фаррелли,,,18+,https://www.kinopoisk.ru/film/1108577/
389,Леон,Léon,1994,8.7,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/389.jpg,"Профессиональный убийца Леон неожиданно для себя самого решает помочь 12-летней соседке Матильде, семью которой убили коррумпированные полицейские.",133 мин,"США, Франция","триллер, драма, криминал, боевик","Жан Рено, Натали Портман, Гари Олдман, Дэнни Айелло, Питер Эппел",Люк Бессон,,,18+,https://www.kinopoisk.ru/film/389/
474,Гладиатор,Gladiator,2000,8.6,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/474.jpg,"Римская империя. Бесстрашного и благородного генерала Максимуса боготворят солдаты, а старый император Марк Аврелий безгранично доверяет ему и относится как к сыну. Однако опытный воин, готовый сразиться с любым противником в честном бою, оказывается бессильным перед коварными придворными интригами. Коммод, сын Марка Аврелия, убивает отца, который планировал сделать преемником не его, а Максимуса, и захватывает власть. Решив избавиться от опасного соперника, который к тому же отказывается присягнуть ему на верность, Коммод отдаёт приказ убить Максимуса и всю его семью. Чудом выжив, но не сумев спасти близких, Максимус попадает в плен к работорговцу, который продаёт его организатору гладиаторских боёв Проксимо. Так легендарный полководец становится гладиатором. Но вскоре ему представится шанс встретиться со своим смертельным врагом лицом к лицу.",155 мин,"США, Великобритания, Мальта, Марокко","драма, боевик, история","Рассел Кроу, Хоакин Феникс, Конни Нильсен, Оливер Рид, Ричард Харрис",Ридли Скотт,,,18+,https://www.kinopoisk.ru/film/474/
312,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,8.6,8.8,https://kinopoiskapiunofficial.tech/images/posters/kp/312.jpg,"Братство распалось, но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены довериться Голлуму, который взялся провести их к вратам Мордора. Громадная армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.",179 мин,"США, Новая Зеландия","драма, приключения, боевик, фэнтези","Элайджа Вуд, Иэн Маккеллен, Вигго Мортенсен, Лив Тайлер, Шон Эстин",Питер Джексон,,,12+,https://www.kinopoisk.ru/film/312/
32898,Достучаться до небес,Knockin' on Heaven's Door,1997,8.6,7.8,https://kinopoiskapiunofficial.tech/images/posters/kp/32898.jpg,"Волею судеб две абсолютные противоположности, тихоня Руди и разгильдяй Мартин, оказываются в одной больничной палате. Узнав неутешительные прогнозы, друзья решают использовать последние дни на полную катушку — угнать машину с деньгами, напиться текилы, и, конечно, увидеть море.",87 мин,Германия,"драма, криминал, комедия","Тиль Швайгер, Ян Йозеф Лиферс, Тьерри Ван Вервеке, Мориц Бляйбтрой, Хуб Стапель",Томас Ян,,,18+,https://www.kinopoisk.ru/film/32898/
447301,Начало,Inception,2010,8.7,8.8,https://kinopoiskapiunofficial.tech/images/posters/kp/447301.jpg,"Кобб – талантливый вор, лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна, когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа, но они же превратили его в извечного беглеца и лишили всего, что он когда-либо любил. 

И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад, но для этого ему нужно совершить невозможное – инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача – не украсть идею, а внедрить ее. Если у них получится, это и станет идеальным преступлением. 

Но никакое планирование или мастерство не могут подготовить команду к встрече с опасным противником, который, кажется, предугадывает каждый их ход. Врагом, увидеть которого мог бы лишь Кобб.",148 мин,"США, Великобритания","триллер, драма, детектив, фантастика, боевик","Леонардо ДиКаприо, Джозеф Гордон-Левитт, Эллиот Пейдж, Том Харди, Кэн Ватанабэ",Кристофер Нолан,,,12+,https://www.kinopoisk.ru/film/447301/
342,Криминальное чтиво,Pulp Fiction,1994,8.7,8.9,https://kinopoiskapiunofficial.tech/images/posters/kp/342.jpg,"Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.
В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй Марселлас покупает боксёра Бутча Кулиджа, чтобы тот сдал бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности.",154 мин,США,"драма, криминал","Джон Траволта, Сэмюэл Л. Джексон, Брюс Уиллис, Ума Турман, Винг Реймз",Квентин Тарантино,,,18+,https://www.kinopoisk.ru/film/342/
456,Унесённые ветром,Gone with the Wind,1939,8.4,8.2,https://kinopoiskapiunofficial.tech/images/posters/kp/456.jpg,"Могучие ветры Гражданской войны в один миг уносят беззаботную юность южанки Скарлетт О`Хара, когда привычный шум балов сменяется грохотом канонад на подступах к родному дому. Для молодой женщины, вынужденной бороться за новую жизнь на разоренной земле, испытания и лишения становятся шансом переосмыслить идеалы, обрести веру в себя и найти настоящую любовь.",222 мин,США,"драма, мелодрама, военный, история","Вивьен Ли, Кларк Гейбл, Лесли Говард, Оливия де Хэвилленд, Оскар Полк","Виктор Флеминг, Джордж Кьюкор, Сэм Вуд",,,12+,https://www.kinopoisk.ru/film/456/
329,Список Шиндлера,Schindler's List,1993,8.8,9.0,https://kinopoiskapiunofficial.tech/images/posters/kp/329.jpg,"Фильм рассказывает реальную историю загадочного Оскара Шиндлера, члена нацистской партии, преуспевающего фабриканта, спасшего во время Второй мировой войны почти 1200 евреев.",195 мин,США,"драма, биография, военный, история","Лиам Нисон, Бен Кингсли, Рэйф Файнс, Кэролайн Гудолл, Эмбет Дэвидц",Стивен Спилберг,,,18+,https://www.kinopoisk.ru/film/329/
42782,Операция «Ы» и другие приключения Шурика,,1965,8.7,8.4,https://kinopoiskapiunofficial.tech/images/posters/kp/42782.jpg,"Студент Шурик попадает в самые невероятные ситуации: сражается с хулиганом Верзилой, весьма оригинальным способом готовится к экзамену и предотвращает «ограбление века», на которое идёт троица бандитов — Балбес, Трус и Бывалый.",95 мин,СССР,"криминал, мелодрама, комедия","Александр Демьяненко, Наталья Селезнёва, Алексей Смирнов, Юрий Никулин, Евгений Моргунов",Леонид Гайдай,,,6+,https://www.kinopoisk.ru/film/42782/
679486,Тайна Коко,Coco,2017,8.7,8.4,https://kinopoiskapiunofficial.tech/images/posters/kp/679486.jpg,"12-летний Мигель живёт в мексиканской деревушке в семье сапожников и тайно мечтает стать музыкантом. Тайно, потому что в его семье музыка считается проклятием. Когда-то его прапрадед оставил жену, прапрабабку Мигеля, ради мечты, которая теперь не даёт спокойно жить и его праправнуку. С тех пор музыкальная тема в семье стала табу. Мигель обнаруживает, что между ним и его любимым певцом Эрнесто де ла Крусом, ныне покойным, существует некая связь. Паренёк отправляется к своему кумиру в Страну Мёртвых, где встречает души предков. Мигель знакомится там с духом-скелетом по имени Гектор, который становится его проводником. Вдвоём они отправляются на поиски де ла Круса.",105 мин,"США, Мексика","приключения, фэнтези, комедия, музыка, мультфильм, семейный","Энтони Гонсалес, Гаэль Гарсиа Берналь, Бенджамин Брэтт, Аланна Юбак, Рене Виктор","Ли Анкрич, Эдриан Молина",,,12+,https://www.kinopoisk.ru/film/679486/
41520,Брат 2,,2000,8.3,7.6,https://kinopoiskapiunofficial.tech/images/posters/kp/41520.jpg,"Участвуя в программе на телевидении, Данила Багров встречает своих друзей по службе в Чечне. Одного из них внезапно убивают. Выясняется, что у того были неприятности из-за брата-хоккеиста в Америке. Данила должен разобраться. Он вылетает в Америку и за компанию берёт с собой старшего брата.",127 мин,"США, Россия","криминал, боевик","Сергей Бодров мл., Виктор Сухоруков, Сергей Маковецкий, Ирина Салтыкова, Кирилл Пирогов",Алексей Балабанов,,,18+,https://www.kinopoisk.ru/film/41520/
46225,Бриллиантовая рука,,1968,8.6,8.3,https://kinopoiskapiunofficial.tech/images/posters/kp/46225.jpg,"В южном городке орудует шайка валютчиков, возглавляемая Шефом и его помощником Графом (в быту — Геной Козодоевым). Скромный советский служащий и примерный семьянин Семен Семенович Горбунков отправляется в зарубежный круиз на теплоходе, где также плывет Граф, который должен забрать бриллианты в одном из восточных городов и провезти их в загипсованной руке. Но из-за недоразумения вместо жулика на условленном месте падает ничего не подозревающий Семен Семенович, и драгоценный гипс накладывают ему.",94 мин,СССР,"криминал, комедия","Юрий Никулин, Андрей Миронов, Анатолий Папанов, Нина Гребешкова, Станислав Чекан",Леонид Гайдай,,,18+,https://www.kinopoisk.ru/film/46225/
44168,Девчата,,1961,8.5,7.8,https://kinopoiskapiunofficial.tech/images/posters/kp/44168.jpg,"В сибирский поселок приехала юная повариха Тося Кислицына — наивная и эксцентричная девчонка. Она сует свой нос во все дела, каждому стремится помочь. Местный красавец Илья на спор заводит с Тосей роман.",92 мин,СССР,"мелодрама, комедия","Надежда Румянцева, Николай Рыбников, Люсьена Овчинникова, Станислав Хитров, Инна Макарова",Юрий Чулюкин,,,0+,https://www.kinopoisk.ru/film/44168/
111543,Темный рыцарь,The Dark Knight,2008,8.5,9.0,https://kinopoiskapiunofficial.tech/images/posters/kp/111543.jpg,"Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы Готэма от преступности. Сотрудничество оказывается эффективным, но скоро они обнаружат себя посреди хаоса, развязанного восходящим криминальным гением, известным напуганным горожанам под именем Джокер.",152 мин,"США, Великобритания","триллер, драма, криминал, фантастика, боевик","Кристиан Бэйл, Хит Леджер, Аарон Экхарт, Мэгги Джилленхол, Гари Олдман",Кристофер Нолан,,,18+,https://www.kinopoisk.ru/film/111543/
41519,Брат,,1997,8.3,7.8,https://kinopoiskapiunofficial.tech/images/posters/kp/41519.jpg,"Демобилизовавшись, Данила Багров возвращается в родной городок. Но скучная жизнь провинции его не устраивает, и он отправляется в Петербург, где, по слухам, уже несколько лет процветает его старший брат. Данила находит брата, но всё оказывается не так просто — брат работает наемным убийцей.",96 мин,Россия,"драма, криминал, боевик","Сергей Бодров мл., Виктор Сухоруков, Светлана Письмиченко, Мария Милютина, Юрий Кузнецов",Алексей Балабанов,,,18+,https://www.kinopoisk.ru/film/41519/
970882,Дангал,Dangal,2016,8.7,8.3,https://kinopoiskapiunofficial.tech/images/posters/kp/970882.jpg,"Когда-то Махавир Сингх Пхогат был чемпионом Индии по борьбе. По причине бедности он был вынужден бросить спорт, но поклялся воспитать сына, который станет в будущем олимпийским чемпионом. Но вот досада — у них с женой родились четыре дочки. Отец сначала отчаялся, но потом, увидев, что подросшие девчонки поколачивают одноклассников, решил всё же сделать из них спортсменок.",161 мин,Индия,"драма, биография, спорт","Аамир Кхан, Фатима Сана Шайкх, Санья Малхотра, Сакши Танвар, Апаршакти Кхурана",Нитеш Тивари,,,16+,https://www.kinopoisk.ru/film/970882/
526,Большой куш,Snatch,2000,8.6,8.2,https://kinopoiskapiunofficial.tech/images/posters/kp/526.jpg,"Фрэнки Четыре Пальца должен был переправить краденый алмаз из Англии в США своему боссу Эви, но, сделав ставку на подпольный боксерский поединок, он попал в круговорот весьма нежелательных событий. Вокруг него и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера, троих незадачливых грабителей, хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать большой куш.",104 мин,"США, Великобритания","криминал, боевик, комедия","Джейсон Стэйтем, Стивен Грэм, Брэд Питт, Алан Форд, Робби Ги",Гай Ричи,,,18+,https://www.kinopoisk.ru/film/526/
77335,Собачье сердце,,1988,8.4,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/77335.jpg,"Москва, 1924 год. В результате одного из сложнейших опытов профессор Филипп Филиппович Преображенский делает потрясающее открытие: после пересадки гипофиза человека пёс Шарик начинает приобретать человеческие черты. Сенсационная новость мгновенно разлетается по Москве и приносит мировому светилу очередную порцию признания. Однако радость оказывается недолгой: вопрос, что из Шарика — то есть гражданина Шарикова — может получиться «высокая психическая личность», очень быстро становится под сомнение.",136 мин,СССР,"драма, фантастика, комедия","Евгений Евстигнеев, Владимир Толоконников, Борис Плотников, Роман Карцев, Нина Русланова",Владимир Бортко,,,12+,https://www.kinopoisk.ru/film/77335/
430,Шрэк,Shrek,2001,8.2,7.9,https://kinopoiskapiunofficial.tech/images/posters/kp/430.jpg,"Жил да был в сказочном государстве большой зеленый великан по имени Шрэк. Жил он в гордом одиночестве в лесу, на болоте, которое считал своим. Но однажды злобный коротышка — лорд Фаркуад, правитель волшебного королевства, безжалостно согнал на Шрэково болото всех сказочных обитателей.
И беспечной жизни зеленого великана пришел конец. Но лорд Фаркуад пообещал вернуть Шрэку болото, если великан добудет ему прекрасную принцессу Фиону, которая томится в неприступной башне, охраняемой огнедышащим драконом.",90 мин,США,"мелодрама, приключения, фэнтези, комедия, мультфильм, семейный","Майк Майерс, Эдди Мерфи, Кэмерон Диас, Джон Литгоу, Венсан Кассель","Эндрю Адамсон, Вики Дженсон",,,18+,https://www.kinopoisk.ru/film/430/
42664,Иван Васильевич меняет профессию,,1973,8.8,8.2,https://kinopoiskapiunofficial.tech/images/posters/kp/42664.jpg,"Инженер-изобретатель Тимофеев сконструировал машину времени, которая соединила его квартиру с XVI веком — точнее, с палатами государя Ивана Грозного. Туда-то и попадают тёзка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский, а сам великий государь оказывается в квартире Тимофеева.",88 мин,СССР,"фантастика, приключения, комедия","Александр Демьяненко, Юрий Яковлев, Леонид Куравлёв, Наталья Крачковская, Савелий Крамаров",Леонид Гайдай,,,6+,https://www.kinopoisk.ru/film/42664/
387556,Хатико: Самый верный друг,Hachi: A Dog's Tale,2008,8.4,8.1,https://kinopoiskapiunofficial.tech/images/posters/kp/387556.jpg,"Однажды, возвращаясь с работы, профессор колледжа нашел на вокзале симпатичного щенка породы акита-ину. Профессор и Хатико стали верными друзьями. Каждый день пес провожал и встречал хозяина на вокзале.",89 мин,"США, Великобритания","драма, биография, семейный","Ричард Гир, Джоан Аллен, Кэри-Хироюки Тагава, Сара Ремер, Джейсон Александер",Лассе Халльстрём,,,0+,https://www.kinopoisk.ru/film/387556/
476,Назад в будущее,Back to the Future,1985,8.6,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/476.jpg,"Подросток Марти с помощью машины времени, сооружённой его другом-профессором доком Брауном, попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями, ещё подростками, и другом-профессором, совсем молодым.",116 мин,США,"фантастика, приключения, комедия","Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Криспин Гловер, Томас Ф. Уилсон",Роберт Земекис,,,12+,https://www.kinopoisk.ru/film/476/
355,Пианист,The Pianist,2002,8.5,8.5,https://kinopoiskapiunofficial.tech/images/posters/kp/355.jpg,"Фильм снят по автобиографии Владислава Шпильмана, одного из лучших пианистов Польши 30-х годов прошлого века. Главный герой фильма — Владек — занимается искусством до тех пор, пока территорию Польши не занимают нацисты. Жизнь всех евреев меняется: их помещают в Варшавское гетто, запрещают работать, унижают, заставляют носить отличительные повязки, а через некоторое время отправляют в концлагерь.",149 мин,"Франция, Польша, Великобритания, Германия","драма, биография, военный, музыка","Эдриан Броуди, Эмилия Фокс, Даниэль Кальтаджироне, Эд Стоппард, Морин Липман",Роман Полански,,,18+,https://www.kinopoisk.ru/film/355/
44745,"Кавказская пленница, или Новые приключения Шурика",,1966,8.5,8.3,https://kinopoiskapiunofficial.tech/images/posters/kp/44745.jpg,"Отправившись в одну из горных республик собирать фольклор, студент Шурик влюбляется в симпатичную Нину — спортсменку, отличницу, комсомолку и просто красавицу. Однако банда из трёх человек похищает девушку, чтобы насильно выдать замуж. Поняв, что происходит, Шурик отважно бросается освобождать кавказскую пленницу.",82 мин,СССР,"мелодрама, приключения, комедия, мюзикл","Александр Демьяненко, Наталья Варлей, Юрий Никулин, Георгий Вицин, Евгений Моргунов",Леонид Гайдай,,,6+,https://www.kinopoisk.ru/film/44745/
325,Крестный отец,The Godfather,1972,8.7,9.2,https://kinopoiskapiunofficial.tech/images/posters/kp/325.jpg,"Криминальная сага, повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.

Глава семьи, Дон Вито Корлеоне, выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл, герой войны, гордость семьи, не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам, но наступают иные времена, и появляются люди, желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.",175 мин,США,"драма, криминал","Марлон Брандо, Аль Пачино, Джеймс Каан, Роберт Дювалл, Ричард С. Кастеллано",Фрэнсис Форд Коппола,,,18+,https://www.kinopoisk.ru/film/325/
